Date,IWB,EWJ,EWG,EWU,EWQ,EWC,EWI,EWA,EWY,EWW,EWP,EWN,EWL,ENOR,EWD
1999-11-30,,0.029536,0.014205,0.009063,0.036269,0.061674,0,0.024845,,0.169725,0.051345,-0.024,-0.003953,,0.082902
1999-12-31,,0.076859,0.196078,0.045935,0.127624,0.095675,0.156069,0.074327,,0.133333,0.051163,0.106557,0.015873,,0.167851
2000-01-31,,-0.057471,-0.056206,-0.090379,-0.08371,0.011364,-0.065,-0.039548,,-0.100346,-0.081858,-0.133333,-0.109375,,-0.03178
2000-02-29,,-0.012195,0.1067,-0.016026,0.116049,0.041199,0.149733,-0.029412,,0.092308,0.093976,0.079772,0.013158,,0.21663
2000-03-31,,0.08642,-0.03139,0.065147,-0.017699,0.061151,-0.069767,-0.042424,,0.038732,0.008811,0.01847,0.073593,,-0.016187
2000-04-28,,-0.075758,-0.087963,-0.039755,-0.024775,-0.020339,-0.065,0.006329,,-0.094915,-0.069869,-0.044041,-0.040323,,-0.031079
2000-05-31,,-0.057377,0.005076,-0.035032,0.039261,0.00346,0.053476,-0.050314,,-0.097378,-0.018779,0.03523,0.058824,,-0.020755
2000-06-30,0.021096,0.056522,-0.020202,0.013201,0.024444,0.1,0.055838,0.145695,0.090909,0.091286,-0.004785,0.044503,0.011905,,-0.040462
2000-07-31,-0.012225,-0.111111,-0.002577,0,-0.019523,0.028213,-0.038462,-0.063584,-0.122024,-0.003802,-0.012019,-0.035088,0.003922,,-0.040161
2000-08-31,0.075908,0.065844,-0.045205,0.009209,-0.01829,0.075956,-0.015932,0.004454,0.016949,0.048757,-0.01658,-0.008802,-0.001887,,0.00472
2000-09-29,-0.046056,-0.049327,-0.06079,-0.030508,-0.066038,-0.051471,-0.050279,-0.044025,-0.126667,-0.093284,0.002571,-0.039683,-0.051383,,-0.111675
2000-10-31,-0.014706,-0.042453,0.009709,0.027972,-0.017677,-0.077519,0.023529,-0.052632,-0.164122,0.041152,-0.035897,0.002755,0.020833,,-0.048571
2000-11-30,-0.085872,-0.073892,-0.067308,-0.061224,-0.059126,-0.113445,0.04023,0.006944,-0.077626,-0.098814,-0.093085,-0.038462,-0.008163,,-0.174174
2000-12-29,0.007782,-0.058511,0.072165,0.022725,0.079235,0.03636,0,0.051807,-0.029703,-0.060667,0.076246,0.037143,0.106996,,0.04
2001-01-31,0.033048,-0.00565,0.051282,0.011631,0.012253,0.054206,0.009503,0.044211,0.232653,0.153052,0.111281,0.00584,-0.024535,,0.093147
2001-02-28,-0.09487,-0.042727,-0.090244,-0.063937,-0.113645,-0.158156,-0.095447,-0.047379,-0.088079,-0.07101,-0.0408,-0.051271,-0.045732,,-0.132549
2001-03-30,-0.071011,-0.02754,-0.104558,-0.060515,-0.083521,-0.085931,-0.063408,-0.121693,-0.111111,-0.018934,-0.06544,-0.106236,-0.102236,,-0.212389
2001-04-30,0.086649,0.095703,0.057485,0.061862,0.093596,0.087558,0.047028,0.13253,0.144608,0.072909,0.048578,0.070284,0.010676,,0.134831
2001-05-31,0.003934,-0.029412,-0.05436,-0.022823,-0.064865,0.033898,-0.077493,0.006383,0.07566,0.08994,-0.056761,-0.039112,-0.014084,,-0.049505
2001-06-29,-0.018735,-0.060606,-0.005988,-0.031961,-0.036609,-0.057377,-0.042269,0.024313,-0.051758,0.029951,-0.059735,-0.032663,-0.039286,,-0.059028
2001-07-31,-0.016012,-0.081134,-0.009639,-0.012698,0.003,-0.012174,0.02514,-0.035088,-0.083275,-0.055786,-0.009882,0.005195,-0.026022,,0.02583
2001-08-31,-0.06118,-0.027659,-0.060888,-0.007267,-0.020289,-0.050616,-0.015041,0.020321,0.015572,-0.026336,0.024857,-0.028734,0.003359,,-0.077122
2001-09-28,-0.084167,-0.080963,-0.184262,-0.077734,-0.138776,-0.098973,-0.149775,-0.175401,-0.165909,-0.197009,-0.126168,-0.135602,-0.076628,,-0.143192
