QTDATE,TOTRET
,
19810529,6.63
,
,
19810630,-2.173
,
,
19810731,-3.53
,
,
19810831,-3.86
,
,
19810930,-1.45
,
,
19811030,8.29
,
,
19811130,14.1
,
,
19811231,-7.129
,
,
19820129,-0.102
,
,
19820226,1.752
,
,
19820331,2.016
,
,
19820430,3.214
,
,
19820528,0.63
,
,
19820630,-2.78
,
,
19820730,5.563
,
,
19820831,8.703
,
,
19820930,6.356
,
,
19821029,6.293
,
,
19821130,1.228
,
,
19821231,2.768
,
,
19830131,-2.851
,
,
19830228,4.85
,
,
19830331,-0.873
,
,
19830429,3.625
,
,
19830531,-3.355
,
,
19830630,0.311
,
,
19830729,-4.792
,
,
19830831,0.453
,
,
19830930,4.685
,
,
19831031,-0.829
,
,
19831130,1.738
,
,
19831230,-0.545
,
,
19840131,2.402
,
,
19840229,-1.76
,
,
19840330,-1.546
,
,
19840430,-0.765
,
,
19840531,-5.361
,
,
19840629,1.497
,
,
19840731,6.93
,
,
19840831,2.664
,
,
19840928,3.425
,
,
19841031,5.609
,
,
19841130,1.18
,
,
19841231,0.906
,
,
19850131,3.964
,
,
19850228,-5.069
,
,
19850329,2.892
,
,
19850430,1.995
,
,
19850531,8.752
,
,
19850628,1.31
,
,
19850731,-1.645
,
,
19850830,2.65
,
,
19850930,0.179
,
,
19851031,3.481
,
,
19851129,4.378
,
,
19851231,5.654
,
,
19860131,0.405
,
,
19860228,9.851
,
,
19860331,8.486
,
,
19860430,-0.059
,
,
19860530,-6.24
,
,
19860630,6.226
,
,
19860731,-0.512
,
,
19860829,4.502
,
,
19860930,-4.454
,
,
19861031,2.691
,
,
19861128,1.97
,
,
19861231,-0.004
,
,
19870130,1.618
,
,
19870227,1.526
,
,
19870331,-2.228
,
,
19870430,-5.184
,
,
19870529,-1.541
,
,
19870630,0.457
,
,
19870731,-1.949
,
,
19870831,-1.583
,
,
19870930,-4.869
,
,
19871030,7.704
,
,
19871130,-0.158
,
,
19871231,2.184
,
,
19880129,6.173
,
,
19880229,1.321
,
,
19880331,-3.175
,
,
19880429,-1.761
,
,
19880531,-1.388
,
,
19880630,4.185
,
,
19880729,-2.107
,
,
19880831,0.479
,
,
19880930,3.873
,
,
19881031,2.706
,
,
19881130,-2.243
,
,
19881230,0.838
,
,
19890131,2.175
,
,
19890228,-2.053
,
,
19890331,1.379
,
,
19890428,2.521
,
,
19890531,4.022
,
,
19890630,4.824
,
,
19890731,2.321
,
,
19890831,-2.292
,
,
19890929,0.268
,
,
19891031,3.605
,
,
19891130,0.825
,
,
19891229,-0.281
,
,
19900131,-3.269
,
,
19900228,0.044
,
,
19900330,-0.121
,
,
19900430,-2.05
,
,
19900531,4.074
,
,
19900629,2.044
,
,
19900731,1.186
,
,
19900831,-3.55
,
,
19900928,1.181
,
,
19901031,2.014
,
,
19901130,3.779
,
,
19901231,1.611
,
,
19910131,1.202
,
,
19910228,0.439
,
,
19910328,0.459
,
,
19910430,1.383
,
,
19910531,0.124
,
,
19910628,-0.503
,
,
19910731,1.58
,
,
19910830,3.114
,
,
19910930,2.89
,
,
19911031,0.692
,
,
19911129,0.962
,
,
19911231,5.183
,
,
19920131,-3.047
,
,
19920228,0.603
,
,
19920331,-0.917
,
,
19920430,0.237
,
,
19920529,2.346
,
,
19920630,1.9
,
,
19920731,3.865
,
,
19920831,0.759
,
,
19920930,1.792
,
,
19921030,-1.667
,
,
19921130,0.058
,
,
19921231,2.281
,
,
19930129,2.913
,
,
19930226,3.255
,
,
19930331,-0.085
,
,
19930430,1.308
,
,
19930528,0.146
,
,
19930630,3.954
,
,
19930730,1.122
,
,
19930831,3.276
,
,
19930930,0.645
,
,
19931029,0.408
,
,
19931130,-2.397
,
,
19931231,0.641
,
,
19940131,2.519
,
,
19940228,-3.922
,
,
19940331,-4.128
,
,
19940429,-1.147
,
,
19940531,-0.311
,
,
19940630,-0.832
,
,
19940729,2.747
,
,
19940831,-0.201
,
,
19940930,-2.517
,
,
19941031,-0.379
,
,
19941130,0.518
,
,
19941230,1.455
,
,
19950131,2.599
,
,
19950228,2.696
,
,
19950331,0.948
,
,
19950428,1.77
,
,
19950531,7.494
,
,
19950630,1.31
,
,
19950731,-1.482
,
,
19950831,2.17
,
,
19950929,1.657
,
,
19951031,2.84
,
,
19951130,2.443
,
,
19951229,2.366
,
,
19960131,0.079
,
,
19960229,-4.537
,
,
19960329,-2.055
,
,
19960430,-1.67
,
,
19960531,-0.544
,
,
19960628,1.803
,
,
19960731,0.44
,
,
19960830,-1.222
,
,
19960930,2.813
,
,
19961031,3.816
,
,
19961129,3.382
,
,
19961231,-2.282
,
,
19970131,-0.638
,
,
19970228,-0.081
,
,
19970331,-2.487
,
,
19970430,2.334
,
,
19970530,1.118
,
,
19970630,2.142
,
,
19970731,5.777
,
,
19970829,-2.862
,
,
19970930,2.929
,
,
19971031,3.167
,
,
19971128,0.982
,
,
19971231,2.221
,
,
19980130,1.9
,
,
19980227,-0.779
,
,
19980331,0.414
,
,
19980430,0.175
,
,
19980529,1.913
,
,
19980630,2.374
,
,
19980731,-0.338
,
,
19980831,4.851
,
,
19980930,3.165
,
,
19981030,-2.049
,
,
19981130,1.337
,
,
19981231,-0.437
,
,
19990129,0.989
,
,
19990226,-4.989
,
,
19990331,-0.069
,
,
19990430,0.316
,
,
19990528,-1.67
,
,
19990630,-0.913
,
,
19990730,-0.572
,
,
19990831,-0.359
,
,
19990930,0.794
,
,
19991029,-0.205
,
,
19991130,-0.547
,
,
19991231,-1.266
,
,
20000131,1.704
,
,
20000229,3.068
,
,
20000331,3.498
,
,
20000428,-0.729
,
,
20000531,-0.407
,
,
20000630,2.013
,
,
20000731,1.827
,
,
20000831,2.335
,
,
20000929,-1.452
,
,
20001031,1.76
,
,
20001130,3.036
,
,
20001229,2.567
,
,
20010131,0.251
,
,
20010228,1.864
,
,
20010330,-0.732
,
,
20010430,-3.172
,
,
20010531,0.433
,
,
20010629,0.478
,
,
20010731,3.866
,
,
20010831,2.276
,
,
20010928,0.561
,
,
20011031,5.265
,
,
20011130,-5.316
,
,
20011231,-1.567
,
,
20020131,1.149
,
,
20020228,1.254
,
,
20020328,-4.045
,
,
20020430,3.957
,
,
20020531,0.221
,
,
20020628,1.849
,
,
20020731,3.002
,
,
20020830,4.452
,
,
20020930,3.974
,
,
20021031,-2.672
,
,
20021129,-1.238
,
,
20021231,4.375
,
,
20030131,-0.434
,
,
20030228,3.087
,
,
20030331,-1.128
,
,
20030430,0.959
,
,
20030530,5.495
,
,
20030630,-1.24
,
,
20030731,-9.102
,
,
20030829,1.058
,
,
20030930,5.638
,
,
20031031,-2.793
,
,
20031128,0.37
,
,
20031231,1.451
,
,
20040130,1.657
,
,
20040227,2.358
,
,
20040331,1.375
,
,
20040430,-5.958
,
,
20040528,-0.41
,
,
20040630,1.362
,
,
20040730,1.466
,
,
20040831,3.955
,
,
20040930,0.87
,
,
20041029,1.581
,
,
20041130,-2.247
,
,
20041231,2.414
,
,
20050131,2.847
,
,
20050228,-1.467
,
,
20050331,-0.438
,
,
20050429,3.533
,
,
20050531,3.135
,
,
20050630,1.675
,
,
20050729,-3.083
,
,
20050831,3.173
,
,
20050930,-3.201
,
,
20051031,-1.932
,
,
20051130,0.788
,
,
20051230,2.522
,
,
20060131,-1.111
,
,
20060228,0.872
,
,
20060331,-4.019
,
,
20060428,-2.451
,
,
20060531,-0.2
,
,
20060630,1.04
,
,
20060731,2.161
,
,
20060831,2.914
,
,
20060929,1.756
,
,
20061031,0.765
,
,
20061130,2.023
,
,
20061229,-2.371
,
,
20070131,-0.753
,
,
20070228,2.88
,
,
20070330,-1.211
,
,
20070430,0.81
,
,
20070531,-2.013
,
,
20070629,-0.842
,
,
20070731,2.97
,
,
20070831,1.762
,
,
20070928,0.119
,
,
20071031,1.585
,
,
20071130,4.839
,
,
20071231,-0.592
,
,
20080131,2.569
,
,
20080229,0.04
,
,
20080331,1.204
,
,
