Date,EEM,EFA,EWC,IEV,EPP,IWB,,,,,,
200908,-0.013136111,0.045030815,-0.017355385,0.054006986,0.034100201,0.042897905,,,,,,
200909,0.10195439,0.037965354,0.071488514,0.050422642,0.088329375,0.034728459,,,,,,
200910,-0.034438437,-0.02523778,-0.063971616,-0.022833133,-0.023743106,-0.018164968,,,,,,
200911,0.0785202,0.039212014,0.086373085,0.044343816,0.054002307,0.059848724,,,,,,
200912,0.024185607,-0.001986115,0.016209866,-0.009407548,-0.011602708,0.018269445,,,,,,
201001,-0.069869766,-0.042011933,-0.063046024,-0.058831011,-0.062057211,-0.031223749,,,,,,
201002,0.017763884,0.00266776,0.060147399,-0.010167694,0.047642611,0.032662114,,,,,,
201003,0.081108872,0.063853905,0.077190154,0.064408898,0.066806326,0.058997141,,,,,,
201004,-0.001661874,-0.028045599,0.011465414,-0.039384515,-0.016804654,0.022077435,,,,,,
201005,-0.09393576,-0.111928081,-0.072971897,-0.113766094,-0.14158354,-0.079635127,,,,,,
201006,-0.020472191,-0.037458431,-0.04967528,-0.039521811,-0.035534205,-0.056473214,,,,,,
201007,0.116670258,0.135629682,0.079147437,0.162575886,0.119864447,0.064578314,,,,,,
201008,-0.032367329,-0.037950435,-0.021005272,-0.047365623,-0.017026979,-0.03939831,,,,,,
201009,0.117573793,0.099719796,0.073946281,0.113562612,0.111738342,0.086358393,,,,,,
201010,0.030153864,0.03805513,0.031751504,0.046763742,0.028082563,0.043381283,,,,,,
201011,-0.029054549,-0.048236944,0.014177178,-0.08177666,-0.024500134,0.001981996,,,,,,
201012,0.063867677,0.072981808,0.056938345,0.079713671,0.053001515,0.062994761,,,,,,
201101,-0.030359713,0.030563991,0.020085432,0.050893919,0.00721173,0.028155324,,,,,,
201102,-0.000436293,0.035498334,0.076062878,0.030724315,0.019267121,0.035253806,,,,,,
201103,0.062895621,-0.023883012,-0.001782237,-0.010645897,0.022356035,-0.001756116,,,,,,
201104,0.027327126,0.056258215,0.002677714,0.084170185,0.044501361,0.033651577,,,,,,
201105,-0.029400083,-0.022060962,-0.023738733,-0.033083183,-0.030364709,-0.010913773,,,,,,
201106,-0.019163555,-0.030938191,-0.037386021,-0.040145864,-0.030665774,-0.017682133,,,,,,
201107,-0.000396334,-0.004808208,-0.016525459,-0.026068426,9.75224E-05,-0.025578286,,,,,,
201108,-0.092549596,-0.087549009,-0.033936528,-0.097780168,-0.048791513,-0.054119843,,,,,,
201109,-0.17894739,-0.108082693,-0.147206604,-0.118882827,-0.215121193,-0.077581215,,,,,,
201110,0.162677993,0.096274537,0.107885761,0.123941169,0.138472507,0.115143282,,,,,,
201111,-0.019603045,-0.021764131,-0.027620471,-0.03070911,-0.017159092,-0.00360227,,,,,,
201112,-0.051737112,-0.033372394,-0.031318344,-0.028225635,-0.077832389,0.003181011,,,,,,
201201,0.120548774,0.065353111,0.071660741,0.06489163,0.114973244,0.055278707,,,,,,
201202,0.052719023,0.048331525,0.032372449,0.05059038,0.03161683,0.04287482,,,,,,
201203,-0.031130312,0.004207901,-0.023432062,-0.000802843,-0.017463005,0.027276486,,,,,,
201204,-0.016996293,-0.020768924,0.000705712,-0.024364276,0.013151953,-0.001492065,,,,,,
201205,-0.107058246,-0.111441791,-0.107192888,-0.1182764,-0.133384644,-0.061016021,,,,,,
201206,0.03793115,0.046063657,0.020536785,0.048863781,0.045153223,0.033246268,,,,,,
201207,0.011709973,0.024115447,0.025827327,0.034891303,0.068536877,0.015163284,,,,,,
201208,0.004089907,0.03200015,0.04602488,0.044542671,0.012909418,0.024614954,,,,,,
201209,0.052189778,0.027131775,0.036000058,0.031346883,0.027136055,0.021068942,,,,,,
201210,-0.00435591,0.010943521,0,0.016703594,0.024288847,-0.012825845,,,,,,
201211,0.015553149,0.027808855,-0.013337833,0.022892179,0.017204198,0.008838209,,,,,,
201212,0.061258647,0.032504002,0.010316561,0.034755444,0.013576729,0.004952229,,,,,,
201301,0.003436355,0.048644385,0.030118626,0.052183283,0.05622072,0.060787265,,,,,,
201302,-0.022840232,-0.012885583,-0.022514833,-0.034549993,0.017519057,0.010551413,,,,,,
201303,-0.010182775,0.013053789,0.010276387,0.000755656,0.000804959,0.034765085,,,,,,
201304,0.012157856,0.050186407,-0.017187219,0.045077367,0.036821727,0.023637163,,,,,,
