,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
197203,-1.03,0.62,1.19,-1.5,0.75,2.16
197204,-1.43,0.44,2.51,-0.15,0.14,1.53
197205,-4.06,-2.28,-1.17,0.17,0.94,3.86
197206,-4.49,-3.02,-3.5,-3.82,-2.15,-1
197207,-4.38,-2.34,-3.43,-3.2,-0.69,1.35
197208,2.8,1.44,-0.15,8.59,5.61,0.73
197209,-3.76,-2.66,-2.69,-2.4,-0.84,0.17
197210,-2.25,-0.51,-0.96,0.53,1.73,0.66
197211,6.86,5.19,4.67,9.89,6.98,1.9
197212,-3.72,-1.5,0.72,-2.32,0.12,3.08
197301,-6.35,-3.97,-5.7,-8.21,-2.56,-1.4
197302,-8.38,-6.99,-9.69,-9.21,-3.65,-3.58
197303,-4.62,-2.97,-0.38,-2.35,-2.41,0.59
197304,-10.62,-6.24,-4.91,-10.7,-5.1,-3.69
197305,-11.02,-8.42,-5.35,-9.23,-3.01,-0.61
197306,-5.3,-3.1,-1.86,-4.86,-2.7,0.28
197307,17.99,11.27,7.19,15.01,8.97,2.67
197308,-7.18,-3.64,-2.45,-5.02,-3.1,-2.83
197309,11.67,9.84,9.24,14.28,8.47,2.72
197310,-3.91,1.37,3.16,-5.33,-1.58,1.35
197311,-22.34,-17.45,-16.37,-20.8,-12.26,-9.46
197312,-7.46,-2.43,4.92,-4.54,-0.43,3.83
197401,16.08,10.13,6.97,5.97,2.21,-2.62
197402,-0.39,0.43,0.06,0.59,-0.9,0.77
197403,1,0.3,-0.97,-3.51,-1.41,-3.65
197404,-7.47,-5.29,-4.96,-5.93,-3.9,-4.23
197405,-9.33,-7.09,-7.55,-3.84,-1.33,-6.41
197406,-4.95,-3.04,-1.7,-3.12,-1.71,-1.76
197407,-6.28,-4.37,-4.22,-8.91,-8.36,-4.76
197408,-9.74,-8.16,-6.29,-10.5,-9.09,-7.96
197409,-10.49,-7.12,-7.71,-13.46,-12.96,-7.76
197410,9.13,8.52,10.69,20.83,15.43,18.2
197411,-6.03,-5.62,-3.01,-4.14,-4.44,-2.89
197412,-7.57,-6.46,-5.6,-4.7,-2.46,-0.83
197501,35.85,27.02,19.93,21.63,11.23,9.9
197502,4.24,4.94,4.67,6.81,6.95,5.16
197503,9.11,5.17,6.58,4.31,1.74,2.76
197504,2.11,3.22,6.72,6.12,4.62,4.27
197505,7.28,6.78,8.08,6.21,5.82,4.25
197506,7.17,6.83,6.58,5.18,4.75,5.84
