,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
1953,-16.53,-5.5,2.98,-0.1,0.43,-14.35,-4.68,-6.53,3.76,3.37,-21.46,-3.8,0.2,2.25,5.54,-10.81,-7.24,2.06,5.18,3.35,-9.64,-5.73,3.51,4.25,6.82
1954,74.18,59.32,65.99,64.09,53.25,57.61,52.23,57.72,56.86,64.59,46.91,50.37,60.25,63.95,68.12,49.24,42.6,48.58,51.01,77.85,37,37.07,44.28,51.58,53.6
1955,21.19,15.33,21.51,29.36,29.96,12.22,21.03,16.23,19.73,29.07,12.75,12.35,19.41,22.53,32.21,12.82,14.62,18.63,17.23,27.01,15.44,17.38,25.68,36.82,38.24
1956,-6.48,0.77,10.9,3.04,13.61,-5.53,-0.74,4.48,12.8,23.49,-5.91,4.04,10.77,14.23,21.63,-2.01,0.76,5.34,6.72,26.66,-1.21,7.88,7.49,9.75,10.46
1957,-27.55,-19.75,-5.02,-3.15,-13.87,-26.66,-16.45,-13.69,-12.58,-16.07,-25.27,-18.94,-11.17,-8.94,-12.8,-22.57,-15.8,-11.46,-5.18,-7.2,-23.08,-10.99,-5.72,-9.42,-8.35
1958,88.96,67.68,66.56,49.97,89.1,85.69,64.26,51.17,53.66,74.05,59.05,52.88,55.4,59.11,59.58,64.31,52.41,59.49,47.39,60.59,54.49,42.54,47.62,36.22,44.05
1959,1.62,19.18,26.49,25.08,20.98,11.18,15.08,18,21.6,38.52,2.97,10.58,11.21,26.3,28.72,5.28,7.53,10.33,20,32.95,-2.96,18.7,12.62,17.22,16.63
1960,-14.05,-6.14,-3.67,5.51,12.09,-21.58,-4.34,-6.3,1.21,11.04,-15.15,-4.1,4.15,-0.81,-1.12,-1.07,-4.11,5.01,5.75,6.05,-12.34,-8.68,-0.65,-1.85,18.24
1961,26.54,27.69,36.81,48.56,37.25,28.29,26.01,31.93,32.04,42.99,25.29,26.62,27.87,24.04,41.59,15.2,37.29,27.34,26.77,35.81,23.29,16.49,34.3,25.75,31.03
1962,-22.52,-10.25,0.34,-8.91,-14.2,-22.75,-16.17,-5.41,-4.41,-12.41,-20.66,-15.54,-13.83,-13.57,-11.52,-18.3,-20.01,-6.49,-2.85,-13.06,-21.74,-15.37,-7.76,-8.64,-4.54
1963,5.96,11.78,22.03,29.2,26.78,14.48,18.05,17.76,19.7,36.28,8.9,17.1,18.37,18.37,17.23,3.02,10.73,14.99,20.39,30.85,18.77,25.1,15.55,18.18,29.6
1964,8.53,29.53,21.83,26.21,22.27,8.02,16.21,22.06,23.67,15.35,9.34,21.83,25.26,17.88,13.98,10.39,14.42,13.87,25.34,31.33,18.95,14,14.25,19.15,11.09
1965,26.99,33.48,41.57,48.2,44.16,25.62,22.82,33.69,32.5,48.65,17.16,21.29,21.58,37.36,64.96,18.12,15.62,16.06,30.08,45.55,9.8,8.93,3.98,13.1,32.3
1966,-14.8,-8.38,-2.85,-6.17,-7.14,-17.68,-8.36,-11.33,-9.76,4.28,-10.98,-4.82,-9.38,-11.6,5.83,-5.82,-1.51,-8.37,-7.21,0.35,-14.9,-15.52,-3.91,-3.95,4.26
1967,79.07,87.19,104.7,101.83,127.69,59.66,62.29,56.99,84.25,96.95,41.38,42.35,42.16,52.76,80.43,34.33,31.54,29.12,34.39,49.16,28.25,16.51,11.99,24.92,39.83
1968,33.94,50.94,53.34,50.58,61.69,27.38,40.91,42.2,41.38,31.78,29.64,37.56,29.04,25.96,28.88,24.6,24.01,20.95,13.25,22.15,17.47,1.85,14.78,4.2,18.94
1969,-39.96,-35.65,-34.46,-29.16,-26.38,-34.75,-26.86,-22.86,-20.44,-20.81,-34.86,-23.51,-13.56,-21.76,-6.62,-31.2,-15.65,-15.48,-9.15,-5.27,-16.6,-11.68,-12.07,-9.5,-5.45
1970,-20.28,-12.79,-9.94,-10.01,-15.62,-18.33,-8.77,-7.44,-2.28,-15.16,-10.52,-1.32,-2.55,-1.02,-9.66,-13.86,-2.76,9.79,-0.16,-5.93,-2.08,19.73,10.34,6.21,-8.53
1971,15.4,18.09,17.91,10.56,21.42,5.13,16.54,12.04,23.36,26.43,14.99,26,12.27,15.06,26.28,17.27,19.85,22.77,19.46,31.61,12.13,19.89,15.97,14.78,15.64
1972,-7.16,2.43,2.49,7.17,5.59,-5.39,5.69,0.93,4.13,13.03,-0.48,4.2,7.85,8.04,21.28,0.48,5.36,6.38,9.26,19.46,10.34,10.97,24.37,17.85,30.99
1973,-51.92,-37.39,-30.81,-27.55,-20.72,-51.84,-38.1,-26.89,-25.71,-20.72,-49.94,-35.84,-31.9,-22.36,-15.05,-50.04,-36.75,-28.15,-16.22,-10.86,-51.51,-32.78,-16.46,-14.44,-6.33
1974,-35.67,-26.28,-23.73,-22.68,-19.23,-35.47,-30.8,-25.71,-27.02,-26.16,-33.45,-28.4,-28.72,-24.19,-21.23,-32.21,-20.67,-35.77,-22.05,-27.76,-38.56,-19.64,-30.46,-23,-26.7
1975,78.06,74.59,63.22,54.37,62.26,62.06,58.46,54.65,52.5,50.03,52.7,51.29,62.56,41.32,45.69,62.09,54.6,42.37,53.89,49.76,51.22,46.06,38.51,19.64,28.92
1976,43.35,52.09,55.16,54.25,53.33,41.58,49.54,51.76,60.72,45.65,37.22,52.38,42.22,41.5,45.37,27.13,37.62,42.24,45.1,30.48,12.03,19.86,29.62,27.01,17.05
1977,11.43,19.16,27.61,31.44,34.18,-5.13,21.57,20.89,21.27,25.14,-0.95,6.85,13.11,13.27,19.02,-6.13,-1.91,0.26,6.51,9.57,-18.12,-7.17,-5.94,-2.12,-5.97
1978,17.13,25.53,21.24,25.66,30.22,7.75,20.27,22.83,13.94,23.22,9.67,7.85,8.1,12.48,22.3,9.7,6.6,9.89,6.05,24.58,-0.1,6.14,-0.97,5.93,34.49
1979,29.75,33.97,37.67,41.16,62.81,33.69,26.66,32.87,45.32,54.01,16.16,26.74,32.28,40.92,60.88,29.58,25.28,28.98,30.5,47.84,10.21,8.87,16.08,24.26,40.81
1980,23.95,25.42,29.09,40.12,63.64,24.3,24.57,25.95,34.56,66.66,20.66,13.04,12.95,33.47,67.2,20.97,18.29,20.59,34.72,64.93,14.99,17.46,20.26,45.15,57
1981,-7.7,11.83,10.2,4.96,-2.06,-10.59,6.86,11.64,11.59,4.5,3.41,13.49,9.58,9.91,-0.41,11.05,15.15,9.76,2.53,-6.31,10.59,3.38,-9.06,-16.92,-18.86
1982,-0.74,27,37.92,37.45,46.43,-6.3,24.28,29.06,39.14,45.59,-1.86,14.17,32.63,40.02,48.89,-3.26,13.09,26.29,36.49,39.72,0.42,16.5,11.93,28.01,38.73
1983,27.48,40.56,43.55,37.82,37.68,30.99,31.85,35.34,38.76,28.42,41.22,32.39,25.56,24.73,27.43,42.43,38.14,20.95,18.17,13.09,34.74,19.69,10.94,17.82,10.82
1984,-26.21,-10.27,1.63,0.94,-1.07,-13.34,-2.3,0.23,6.12,2.44,-13.38,0.83,10.16,8.05,-0.79,-12.4,-2.81,6.91,6.6,-2.26,4.18,10.09,11.81,5.97,2.02
1985,11.97,27.75,30.37,31.38,43,18.08,26.69,42.72,40.59,44.53,12.68,25.4,35.13,37.06,40.86,14.49,23.39,34.27,31.42,42.72,30.6,42.92,34.44,31.79,28.1
1986,-8.96,7.79,12.47,7.4,6.82,-11.81,6.37,8.87,17.5,15.6,7.82,5.3,19.91,12.07,18.84,3.68,23.19,19.83,17.84,15.97,18.05,22.29,14.63,21.31,22.57
1987,-24.11,-9.77,-9.39,-9.89,-11.12,-10.45,-5.74,-3.86,-9.59,-3.53,6.67,-3.47,-5.18,-5.88,-5.47,4.13,-6.33,-3.26,2.48,13.83,28.52,18.13,-3.86,0.45,4.23
1988,9.01,23.39,27.37,25.55,24.91,22.92,28.61,24.77,22.91,25.34,24.57,24.88,19.92,18.37,26.18,22.16,26.01,20.76,22.34,17.27,28.19,28.07,12.18,12.38,15.09
1989,-9.85,9.28,10.05,18.24,19.67,4.09,15.07,17.93,23.59,29.02,3.65,19.51,21.43,23.95,39.45,10.86,23.92,24.39,31.04,37.89,-5.81,18.07,29.76,36.22,46.34
