Industry,4yr,4yr Rolling,5yr,5yr Rolling,6yr,6yr Rolling,7yr,7yr Rolling,8yr,8yr Rolling,9yr,9yr Rolling,10yr,10yr Rolling,,,,,,,
Coal,6.13E-02,2.56E-01,8.64E-02,2.52E-01,8.68E-02,2.70E-01,8.73E-02,3.62E-02,3.60E-02,2.84E-01,0.074748874,1.78E-01,1.28E-02,4.08E-01,,,,,,,
Oil,4.93E-02,1.35E-01,1.43E-02,7.55E-02,6.70E-03,7.88E-02,2.62E-03,9.47E-02,1.07E-03,4.90E-02,0.029582473,3.50E-02,1.54E-02,2.14E-01,,,,,,,
Util,3.28E-02,3.70E-02,6.91E-02,1.60E-02,7.87E-02,1.86E-02,7.69E-02,1.44E-02,9.83E-02,6.38E-03,0.295445066,1.29E-02,6.61E-03,4.97E-03,,,,,,,
Telcm,8.63E-02,5.92E-03,1.12E-01,1.15E-05,9.64E-02,1.24E-02,1.19E-01,2.09E-01,9.16E-02,1.03E-03,0.044499019,2.67E-02,4.54E-02,1.55E-02,,,,,,,
PerSv,1.20E-02,4.36E-02,6.12E-02,3.07E-02,7.45E-02,3.85E-02,6.53E-02,2.11E-01,2.67E-03,3.34E-07,0.040270038,2.16E-03,1.49E-02,9.05E-02,,,,,,,
BusSv,4.37E-03,2.53E-02,2.28E-02,6.70E-03,3.18E-02,7.17E-03,3.02E-02,3.91E-01,2.64E-02,4.55E-02,0.058516081,6.47E-02,2.03E-02,9.66E-02,,,,,,,
Hardw,1.72E-02,1.07E-02,5.79E-02,2.07E-01,5.86E-02,1.30E-01,1.64E-02,2.05E-01,1.17E-02,1.35E-01,0.006103132,1.68E-01,3.76E-02,3.28E-01,,,,,,,
Softw,8.38E-02,3.55E-03,1.55E-02,1.43E-01,1.12E-02,1.11E-01,1.69E-03,3.83E-01,4.78E-02,3.21E-01,0.149049893,3.62E-01,1.25E-03,5.20E-01,,,,,,,
Chips,1.20E-02,7.07E-03,3.69E-02,1.27E-01,5.40E-02,7.87E-02,5.07E-02,3.02E-01,9.23E-02,2.42E-01,0.078694859,2.73E-01,7.27E-02,4.02E-01,,,,,,,
LabEq,2.68E-03,1.83E-03,8.83E-03,1.21E-02,2.09E-02,7.01E-05,3.07E-02,2.62E-01,5.80E-02,6.63E-02,0.063677749,1.16E-01,3.88E-02,1.38E-01,,,,,,,
Paper,3.26E-02,6.92E-03,3.71E-02,2.36E-03,3.26E-02,6.12E-03,3.67E-02,1.82E-01,6.43E-02,1.49E-02,0.133129606,2.45E-02,1.46E-01,2.13E-06,,,,,,,
Boxes,1.91E-03,8.11E-02,8.15E-03,5.29E-02,3.17E-03,5.43E-02,1.12E-03,3.43E-01,1.71E-02,3.09E-02,0.020758322,1.02E-01,2.56E-02,8.52E-02,,,,,,,
Trans,3.13E-03,6.15E-02,3.66E-02,1.28E-01,5.55E-02,1.43E-01,6.06E-02,3.87E-01,3.80E-03,2.18E-01,0.011292646,1.86E-01,2.62E-02,1.01E-01,,,,,,,
Whlsl,3.23E-03,3.88E-02,2.31E-02,1.78E-01,3.45E-02,1.84E-01,3.80E-02,2.62E-01,1.29E-01,8.48E-02,0.247937687,6.58E-02,4.88E-02,1.51E-01,,,,,,,
Rtail,2.21E-02,3.48E-05,4.08E-02,2.55E-02,2.98E-02,3.58E-02,1.89E-03,5.06E-01,6.44E-03,1.27E-01,0.017601042,2.67E-01,1.94E-02,3.63E-01,,,,,,,
Meals,1.98E-03,6.29E-02,2.15E-02,6.42E-02,2.84E-02,1.22E-01,3.23E-02,2.03E-01,6.96E-03,8.25E-02,0.001961568,2.29E-01,6.59E-05,1.04E-01,,,,,,,
Banks,5.37E-05,4.75E-03,1.61E-04,8.50E-06,7.96E-03,1.77E-06,1.01E-02,4.57E-01,1.00E-01,2.65E-02,0.085667666,5.66E-04,3.09E-02,5.65E-03,,,,,,,
Insur,4.54E-02,4.90E-03,6.18E-02,5.73E-04,5.90E-02,8.53E-04,6.25E-02,2.26E-01,1.63E-01,4.62E-03,0.161971378,1.39E-02,1.95E-01,3.57E-03,,,,,,,
RlEst,4.91E-02,4.66E-02,1.08E-02,3.24E-02,1.09E-02,3.80E-02,3.88E-02,2.23E-01,9.47E-02,8.77E-02,0.081503485,1.57E-01,1.28E-01,9.39E-02,,,,,,,
Fin,6.95E-02,2.47E-03,7.72E-02,2.70E-02,6.33E-02,1.42E-02,7.32E-02,1.56E-01,4.80E-03,2.41E-02,0.002425616,8.56E-04,2.38E-01,2.70E-02,,,,,,,
Other,2.67E-01,9.86E-02,1.52E-01,1.71E-01,1.38E-01,7.96E-02,1.69E-01,3.37E-01,1.00E-02,1.80E-01,0.012154887,6.10E-02,8.09E-03,4.90E-02,,,,,,,
