,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
2001,20.18,4.43,5.39,-16.1,11.12,26.4,12.41,2.81,2.78,-1.07,0.58,4.84,-14.81,-8.5,20.37,33.4,6.84,13.37,-35.61,-5.21,2.12,-21.5,-1.44,-26.68,7.44,41.53,37.08,1.19,3.3,-6.9,-10.19,-17.39,33.88,-3.08,-48.09,-9.6,-28.44,-25.55,0.09,23.13,-1.82,-26.69,12.17,0.84,-0.64,-7.15,25.65,-15.18,-16.69
2002,-6.98,-3.13,12.21,-1.49,-7.2,-4.5,-3.33,3.9,4.47,0.26,-24.53,-13.33,-23.72,-5.32,-0.26,-10.09,-8.06,-10.44,-34.98,-28.06,-13.71,-6.49,-21.4,-12.84,0.43,22.7,59.65,-17.15,-13.59,-8.7,-22.06,-30.58,0.1,-25.04,-29.54,-35.99,-49.5,-35.57,-6.07,13.21,-6.22,-18.49,-22.03,-17.81,-8.6,-13.06,-3.2,-24.58,-36.04
2003,40.71,11.78,1.31,16.98,41.57,36.97,36.36,19.38,15.1,37.31,25.77,35.81,18.64,26.6,2.03,24.7,33.76,89.54,77.58,28.86,47.84,44.67,59.87,43.14,20.02,-8.09,72.27,84.77,58.57,26.65,25.6,14.98,44.68,28.96,59.08,30.97,79.45,53.82,33.86,14.46,23.36,28.5,29.19,38.93,34.13,22.88,41.32,49.11,32.51
2004,16.6,21.35,6.42,-10,20.67,16.04,20.77,2.03,14.02,23.61,9.8,14.62,-3.41,21.79,16.19,23.9,25.7,31.52,23.36,58.68,11.95,11.14,2.02,15.53,19.76,13.28,-10.48,8.25,64.19,32.16,24.79,9.26,9.9,10.93,3.69,13.87,-7.5,6.27,6.01,38.5,19.5,13.83,11.14,26.44,13.55,16,49.35,9.85,16.45
2005,-2.89,-4,6.3,3.01,25.61,-15.19,-4.61,-13.15,-0.29,3.81,13.15,2.44,4.47,-1.35,-2.12,-9.8,11.3,25.27,14.71,-15.9,13.5,4.64,-25.77,18.8,12.23,10.1,18.44,43.33,69.98,32.09,17.6,-6.72,-3.05,8.58,-0.4,-3.52,9.95,4.21,-1.17,1.23,9.69,8.93,5.09,8.36,0.74,20.06,7.33,20.49,-0.25
2006,23.76,19.12,12.84,14.98,22.92,20.77,32.96,21.28,16.12,23.02,5.5,3.48,9.43,16.11,34.03,4.55,9.58,-8.55,45.39,6.76,16.23,18.29,18.55,22.63,28.4,41.22,-9.98,35.13,-12.41,23.32,20.94,36.84,1.36,13.01,24.17,10.09,-3.42,17.76,9.01,19.65,10.74,13.88,8.39,23.73,16.96,7.53,2.6,34.07,15.9
2007,100.14,4.45,30.06,23.85,17.73,-21.24,3.77,-22.88,10.71,-11.12,2.43,10.54,2.26,29.55,-7.6,7.59,-4.32,-17.43,32.51,10.07,30.54,25.47,3.56,21.33,10.07,17.07,9.44,70.95,71.48,30.64,18.77,-1.66,8.01,1.2,20.88,17.61,12.51,19.93,3.96,29.8,0.25,1.71,-5.89,0.95,-24.72,-2.16,-19.26,-4.47,10.27
2008,-36.84,-18.01,-43.83,-16.54,-20.56,-31.45,-70.07,-60.01,-20.66,-34.06,-35.22,-33.18,-13.14,-47.23,-35.3,-49.61,-44.12,-37.43,-59.95,-39.78,-49.97,-41.83,-63.77,-44.2,-34.58,-20.5,-23.87,-55.15,-62.27,-31.4,-28.33,-34.49,-21.07,-36.31,-45.68,-39.73,-44.45,-41.01,-41.79,-29.4,-23.86,-35.76,-20.78,-18.34,-45.49,-50.27,-63.01,-60.02,-44.92
2009,17.73,18.98,61.07,21.11,26.05,27.51,59.39,55.46,12.31,52.59,35.66,31.09,18.54,62.58,33.28,41.15,30.5,7.96,34.87,40.26,49.51,28.09,92.49,35.95,38.7,-4.54,23.66,92.67,115.13,11.38,14.79,25.21,10.56,30,71.89,60.27,50.15,41.93,54.75,34.78,25.89,42.42,29.64,22.3,6.78,15.36,73.75,55.63,3.68
2010,-15.23,15.33,41.81,16.31,27.8,34.14,77.97,9.12,11.61,37.51,11.59,6.32,3.81,36.97,28.26,18.9,29.01,14.71,7.86,27.17,45.47,33.96,50.18,24.27,44.97,-3.53,39.58,48.63,34.53,20.19,8.26,22.31,-7.45,16.87,17.93,13.36,12.63,32.79,14.25,17.83,29.79,20.87,16.75,38.25,8.47,19.2,20.64,6.88,21.37
2011,-0.12,13.26,21.7,7.03,36.15,-7.05,-9.33,5.47,6.76,13.68,-11.56,-1.23,15.5,-3.34,9.29,-7.45,-4.57,-10.84,-27.49,5.43,-3.87,-12.46,-25.91,6.81,16.03,15.4,-6.99,-32.78,-44.43,6.56,20.88,6.16,1.58,-0.32,-0.17,0.31,-3.92,-6.82,-1.01,-5.77,0.34,7.46,8.28,22.12,-16.65,-0.15,-7.45,-27,-2
2012,34.79,8.91,13.74,11.98,10.21,25.96,16.63,22.14,10.25,12.91,33.97,14.62,20.69,21.57,25.71,50.04,33.07,46.11,3.57,16.51,13.62,17.65,23.96,12.05,22.38,20.08,-16.5,10.34,-26.5,4.38,3.72,29.21,-5.35,18.44,15.54,14.77,4.72,25.21,17.28,17.43,11.47,15.84,22.33,5.17,34.09,16.52,40.7,24.97,17
2013,26.33,34.22,17.56,28.12,17.33,46.53,76.69,41.07,28.24,40.23,29.98,33.66,43.95,32.26,47.52,73.11,36.25,28.16,29.48,58.94,28.91,40.25,46.11,55.02,72.54,69.57,-51.87,-0.74,-12.58,26.11,16.54,36.06,50.67,46.7,-1.34,36.85,45.69,42.13,44.59,36.95,45.87,43.8,35.23,30.38,40.67,45.6,24.58,55.25,33.8
2014,6.55,15.72,9.86,21.56,14.83,-9.77,-12.43,6.3,10.62,11.79,29.44,22.92,24.81,8.91,1.24,20.88,1.58,-9.37,0.49,-34.72,1.43,-3.09,8.25,3.51,17.69,27.1,-21.96,-17.33,-36.54,-11.16,23.4,6.27,11.95,10.4,26.53,8.61,29.09,11.87,15.82,12.76,31.68,12.32,14.31,10.52,10.61,14.11,5.82,13.11,10.45
2015,-13.9,11.12,10.48,14.2,22.86,-1.44,11.49,-7.31,-6.67,2.18,-6.37,7.94,6.46,-7.07,5.29,13.2,0.33,-1.39,-30.93,-45.81,-16.99,-13.17,-7.58,-0.32,-9.87,18.8,-10.84,-23.53,-80.81,-18.83,-13.95,-0.94,-16.92,4.33,-13.07,13.59,-3.19,6.24,-4.96,-5.3,-16.36,-4.39,8.03,11.37,1.24,8.4,-8.84,-5.01,2.72
2016,10.15,11.23,-1.24,5.73,16.23,14.11,17.65,3.71,7.17,-8.44,-2.64,15.47,-4.77,16.19,19.41,1.35,23.13,10.64,46.33,53.53,38.16,15.17,7.06,17.88,27.92,15.49,103.83,49.25,121.14,26.02,22.57,21.19,3.89,12.3,16.45,7.79,21.3,8.44,14.25,18.95,22.06,7.8,2.76,9.57,21.79,18.62,-4.96,21.59,15.28
2017,14.64,1.13,18.08,22.13,14.42,-9.38,41.57,14.33,14.75,24.19,6.95,32.39,21.52,34,18.59,35.48,29.29,47.26,22.35,38.76,41.72,18.72,22.74,46.06,19.12,29.45,3.98,22.6,9.48,0.94,9.99,4.34,22.22,31.85,27.8,35.26,39.18,37.89,25.21,17.89,22,9.5,25.68,26.86,21.59,26.21,30.21,28.42,-1.68
2018,-24.36,-17.23,4.1,-10.97,-30.35,-14.21,3.26,-22.39,-3.51,6.45,6.34,13.46,2.86,-15.49,-13.6,-51.57,-28.6,-30.61,-27.36,3.98,-20.65,-17.17,-20.51,-3.33,-15.38,-14,-11.16,-35.13,-12.83,-17.86,1.5,-3.36,-4.06,2.12,4.11,2.38,-6.25,3.44,-15.95,-17.83,-10.45,-11.07,6.96,2.69,-11.46,-1.08,-25.2,-15.55,-9.5
2019,22.53,21.98,20.85,26.18,22.11,67.18,28.57,17,34.62,39.99,29.17,28.71,17.84,7.79,20.42,16.68,46.45,43.89,10.78,3.5,39.15,33.81,25.53,21.04,16.84,49.49,30.94,43.27,-44.75,7.54,24.29,29.55,13.13,38.25,19.36,38.33,63.73,39.89,8.48,35.04,14.72,33.29,25.66,27.92,38.87,24.58,39.62,28.81,20.28
2020,25.56,7.2,9.75,14.18,-2.05,74.69,29.75,13.54,17.08,23.4,30.68,20.14,16.44,17.13,48.75,-0.92,18.97,25.53,4.37,41.2,29.01,40.08,208.55,-17.82,-7.94,-1.05,41.3,42.05,-33.42,-32.5,-3.89,12.06,-0.54,34.23,6.72,44.12,59.5,35.08,2.7,24.99,22.63,14.09,42.03,13.46,-5.1,6.16,6.91,21.4,6.81
2021,20.58,13.15,11.36,13.87,21.96,-27.13,4.2,28.83,19.15,15.02,2.52,16.95,13.9,25.16,41.68,28.29,40.08,45.93,69.82,26.23,31.48,19.48,46.02,12.89,20.38,5.87,1.36,34.63,125.83,60.57,20.18,-7.12,21.3,6.75,52.56,28.8,38.94,34.89,10.54,5.96,17.92,32.8,17.02,21.4,27.03,30.79,44.2,42.41,19.62
2022,21.11,7.18,9.83,3.37,9.34,-54.59,-39.19,-23.66,-15.28,-28.3,-25.84,-19.64,1.67,-14.49,-34.56,-34.71,-21.3,-15.58,7.09,-26.95,-11.99,-30.19,-57.2,8.38,8.57,32.8,-20.08,-10.22,100.02,65.43,2.88,-23.42,-11.98,-29.26,-24.95,-36.57,-29,-20.14,-20.95,-18.04,-23.07,-0.68,-30.16,-12.7,-16.02,7.93,-32.17,-14.7,-0.01
2023,-12.02,-7.22,1.16,-2.3,-2.34,6.49,37.26,30.11,0.11,10.57,4.23,6.5,4.05,5.62,28.71,2.32,53.29,69.14,33.52,13.67,28.27,20.28,71.79,15.66,20.16,2.49,-8.82,31.03,49.91,-1.92,-4.61,8.44,26.44,16.56,25.92,60.8,64.41,3.44,0.25,13.02,25.72,25.88,35.91,20.79,16.15,5.99,20.36,19.81,18.42
